quote,author,context,source
Fucking Barry.,Moira Burton,after asking Barry something and getting told no,Resident Evil Revelations 2
"I mean, what in a moist barrel of fucks is--",Moira Burton,asking what's going on being kidnapped and thrown in a dungeon,Resident Evil Revelations 2
Fucking technology!,Moira Burton,whenever technology fucks up,Resident Evil Revelations 2
Who the fuck is quoting poetry?,Moira Burton,during Alex Wesker's poetic ramblings,Resident Evil Revelations 2
"Well, fuck that place very much.",Moira Burton,after escaping a fucked-up place,Resident Evil Revelations 2
"Fuck you, Hollywood. That wasn't even close to easy.",Moira Burton,after jumping across a broken bridge,Resident Evil Revelations 2
"Also, Barry can kiss my ass. The guy bitches and moans and granny swears about everything.",Moira Burton,after Claire brings up Barry in a conversation,Resident Evil Revelations 2
Fucking shit on a stick!,Moira Burton,after getting no response to her distress signal,Resident Evil Revelations 2
Fucking statue!,Moira Burton,after a booby-trapped statue explodes in her face,Resident Evil Revelations 2
Fuuuuuuuuuccckkk!,Moira Burton,while jumping from the top floor of an exploding factory,Resident Evil Revelations 2
"Go jump on a dildo, boss!",Moira Burton,right before shooting her crazy-ass boss,Resident Evil Revelations 2
I swear to god I'm gonna survive the fuck out of this!,Moira Burton,while escaping Alex Wesker's self-destructing skyscraper laboratory,Resident Evil Revelations 2
"Ask me my fucking name for once, you DINOSAUR!",Moira Burton,while berating an elderly man,Resident Evil Revelations 2
Fuck it right up the ass!,Moira Burton,in reference to technology fucking up,Resident Evil Revelations 2
"Kick her ass, Dad!",Moira Burton,while Barry is fucking up Alex Wesker,Resident Evil Revelations 2
Come out from behind that glass so I can CHOKE a god!,Moira Burton,in response to Alex Wesker calling herself a god,Resident Evil Revelations 2
FUCK YEAH!,Moira Burton,after Claire snipes the shit out of Alex Wesker,Resident Evil Revelations 2
"Fear what you will become, and become what you fear...",Alex Wesker,trying to intimidate Claire and Moira,Resident Evil Revelations 2
True or false...,Alex Wesker,going nuts over her clone in Natalia,Resident Evil Revelations 2
I alone am true. The false one must die...,Alex Wesker,thinking of killing her clone in Natalia,Resident Evil Revelations 2
"I understand how you felt, Albert. It's not enough to live. I want to transceeeeeeennnnnnnd!",Alex Wesker,right before transforming into god-knows-what,Resident Evil Revelations 2
I've conquered fear and earned the right to become a god.,Alex Wesker,during her evil monologue to Claire and Moira,Resident Evil Revelations 2
Naaataaaliaaaaaaaaa...,Alex Wesker,while creepily eyeing Natalia,Resident Evil Revelations 2
"You can't have her, She-Wesker!",Barry Burton,while protecting Natalia from the transformed Alex Wesker,Resident Evil Revelations 2
Two Weskers? You gotta be shitting me.,Barry Burton,after learning about Alex Wesker,Resident Evil Revelations 2
You were almost a Jill Sandwich!,Barry Burton,after saving Jill from a collapsing ceiling,Resident Evil
Is there a little girl on this planet that will listen to me?,Barry Burton,after Natalia doesn't listen to him,Resident Evil Revelations 2
"And, JILL... here's a lockpick. It might be handy if you, the Master of Unlocking, take it with you.",Barry Burton,before giving a lockpick to the master of unlocking,Resident Evil
"Ha! Who's the master of unlocking now, huh?",Barry Burton,after busting a gate open with a 5-ton crane,Resident Evil Revelations 2
"Oversee this, bitch.",Claire Redfield,right before sniping the shit out of Alex Wesker,Resident Evil Revelations 2
I was almost a Claire sandwich.,Claire Redfield,after almost being crushed by a trash compactor,Resident Evil Revelations 2
Terra Save was built to save people! It's in the GODDAMN name!,Claire Redfield,"to her zombified, crazy-ass ex-boss",Resident Evil Revelations 2
You better hope someone saves YOU!,Claire Redfield,"to her zombified, crazy-ass ex-boss",Resident Evil Revelations 2
Time to meet the cause of our misery.,Claire Redfield,right before confronting Alex Wesker,Resident Evil Revelations 2
Adopt you?!,Claire Redfield,after Sherry tells her and Leon that they should adopt her,Resident Evil 2 Remake
Why can't you just die!?,Claire Redfield,when William Birkin shows up for the 4th fucking time,Resident Evil 2 Remake
"You LOSE, big guy!",Claire Redfield,right before shooting Mr. X with a rocket launcher,Resident Evil 2
We have to get that device off her chest!,Sheva Alomar,while trying to get a mind-control device off of Jill's chest,Resident Evil 5
My god... Look how big it's become!,Sheva Alomar,after seeing how big IT has become,Resident Evil 5
CHRIIIIIISSSSSS!,Sheva Alomar,when Chris dies,Resident Evil 5
I can't right now!,Sheva Alomar,whenever Chris asks for help,Resident Evil 5
You can't be serious!,Sheva Alomar,whenever Chris asks for help,Resident Evil 5
"Wow, what a mansion!",Albert Wesker,when walking into the mansion,Resident Evil
Stop it! Don't open that door!,Albert Wesker,as he stops Jill from opening that door,Resident Evil
You haven't changed.,Albert Wesker,as he reveals himself to Chris,Resident Evil 5
"I think the odds are fair, two on two.",Albert Wesker,before battling Chris and Sheva alongside evil Jill,Resident Evil 5
Seven minutes. Seven minutes is all I can spare to play with you.,Albert Wesker,as he battles Chris and Sheva,Resident Evil 5
You future hinges upon this fight.,Albert Wesker,right before kicking the shit out of Chris,Resident Evil 5
"Remarkable! Still resisting at such an advanced stage! Commendable, yet futile.",Albert Wesker,as he ups the mind-control on Jill,Resident Evil 5
"Every day humans come one step closer to self destruction. I'm not destroying the world, I'm saving it!",Albert Wesker,justifying his plan to unleash Uroboros,Resident Evil 5
There's no point in hiding.,Albert Wesker,while looking for Chris and Sheva in the shadows,Resident Evil 5
You're merely postponing the inevitable!,Albert Wesker,after Chris and Sheva hide from him,Resident Evil 5
You can't hide forever!,Albert Wesker,while looking for Chris and Sheva,Resident Evil 5
Has it never occurred to you that this planet is overpopulated? Only a handful of humans truly matter. Everyone else is just so much chaff.,Albert Wesker,while battling Chris and Sheva,Resident Evil 5
Only those with superior DNA will be chosen by Uroboros... Only those fit for survival will be allowed to carry their genes into a new age!,Albert Wesker,while battling Chris and Sheva,Resident Evil 5
"Let me clarify something for you, Chris. I don't think of myself as a king... No, I am a god! And even kings bow to gods!",Albert Wesker,while on a power-tripping monologue to Crhris and Sheva,Resident Evil 5
Natural selection leaves the survivors stronger and better! Humans have escaped this winnowing for far too long.,Albert Wesker,explaining his ideology to Chris and Sheva,Resident Evil 5
The human race requires judgement!,Albert Wesker,while chasing after Chris and Sheva,Resident Evil 5
CHRIIIIIIIIISSS!,Albert Wesker,while burning alive in lava,Resident Evil 5
You want S.T.A.R.S? I'll give you S.T.A.R.S!,Jill Valentine,while confronting Nemesis,Resident Evil 3 Remake
Bitch can't even swim.,Jill Valentine,after watching Nemesis fall into a river,Resident Evil 3 Remake
Look. Just so you know? This is the last fucking time!,Jill Valentine,after Nemesis comes after her for the billionth time,Resident Evil 3 Remake
"Next time, take the fucking hint!",Jill Valentine,right before killing Nemesis,Resident Evil 3 Remake
Don't you trust your partner?,Jill Valentine,while entreating Chris to leave her and go after Wesker,Resident Evil 5
S.T.A.R.S!,Nemesis,all the fucking time,Resident Evil 3 Remake
"Yeah, so much for him, we got to the ROOT of the problem!",Chris Redfield,after killing a plant monster,Resident Evil
"Ladies first. Go first, Jill. Give me a chance to play nice guy.",Chris Redfield,trying too hard,Resident Evil
You should've worn your thermal underwear.,Chris Redfield,after Jessica complains about the cold,Resident Evil Revelations
"Trust is built through actions, not words.",Chris Redfield,during a conversation with Jessica about trust,Resident Evil Revelations
"Wait, we're the only two left, you want us to go in there alone?!",Chris Redfield,after losing almost all his teammates and BSAA ain't letting up,Resident Evil 5
Why does it always feel like I'm trapped inside a horror movie?,Chris Redfield,while fighting Uroboros,Resident Evil 5
"And let me guess, you're the one that's gonna rule this 'new age' right?",Chris Redfield,responding to Wesker's monologue of building a new world,Resident Evil 5
"Oh great, I feel more crazy talk coming on.",Chris Redfield,as Wesker strokes his own ego,Resident Evil 5
I've had ENOUGH... of your BULLSHIT!,Chris Redfield,after listening to Wesker spew out evil monologue bullshit for the billionth time,Resident Evil 5
You're just another one of Umbrella's leftovers...,Chris Redfield,roasting the fuck out of Wesker,Resident Evil 5
"Suck on this, Wesker!",Chris Redfield,right before shooting Wesker with an RPG,Resident Evil 5
"More and more I find myself wondering if it's all worth fighting for. For a future without fear... Yeah, it's worth it.",Chris Redfield,reflecting on his many battles against bioterrorism,Resident Evil 5
C'MON!,Chris Redfield,every time he's waiting on Sheva,Resident Evil 5
"Listen, sweetheart. You're here to pour drinks and look pretty. So how 'bout you shut your mouth?",Chris Redfield,talking trash to a bartender,Resident Evil 6
"I can't keep running away, I have to face the truth - accept responsibility. That's the only way I'll ever remember. The only way I'll get my life back.",Chris Redfield,reflecting on the trauma of losing his entire team,Resident Evil 6
"No one gets left behind, not on my watch.",Chris Redfield,determined to keep his team alive,Resident Evil 6
"You follow my lead, or I'll find someone who will.",Chris Redfield,refusing to listen to Piers' criticism of his risky decisions,Resident Evil 6
"Fall in line, soldier.",Chris Redfield,after Piers criticizes his risky decisions,Resident Evil 6
I lost all my men because of her!,Chris Redfield,when Leon tries defending Ada,Resident Evil 6
"It's time someone took my place, and I'd be honored if it was you.",Chris Redfield,to Piers Nivans,Resident Evil 6
"If you're gonna kill me, just kill me, but for the love of God, shut the fuck up!",Chris Redfield,to Lucas Baker,Resident Evil 7
Game over.,Chris Redfield,after defeating Lucas Baker,Resident Evil 7
Something tells me he's not a cop...,Leon Kennedy,"after seeing a 7-foot tall, fedora-wearing B.O.W. destroy a security camera",Resident Evil 2 Remake
Words won't work on this thing...,Leon Kennedy,after being confronted by a mutated William Birkin,Resident Evil 2 Remake
You got a problem with death?!,Leon Kennedy,when Birkin confronts him for the 4th time,Resident Evil 2 Remake
Uh... Is this a fucking joke?!,Leon Kennedy,when Mr. X confronts him while he's rushing to escape Umbrella's self-destructing lab,Resident Evil 2 Remake
"Chew on that, you overgrown son of a bitch!",Leon Kennedy,"after destroying a giant, mutated alligator",Resident Evil 2 Remake
Where's everyone going? Bingo?,Leon Kennedy,after crazy villagers drop their weapons and leave upon hearing a church bell,Resident Evil 4
The 'Los Illuminados'? *scoffs* That's a mouthful.,Leon Kennedy,after learning the name of the organization that kidnapped Ashley,Resident Evil 4
